scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
smdvlinear_(no mean)_normal_KL28_135038_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.40615384615384614,0.3661538461538459,0.3643076923076924,0.39290598290598283,0.37892698412698406,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.0,0.0,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_135816_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.4153846153846154,0.36666666666666636,0.36830769230769234,0.40518803418803423,0.3821901098901098,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.01,0.01,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_140635_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.4246153846153846,0.3666666666666664,0.35871794871794876,0.3872478632478632,0.3779936507936507,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_141507_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.4123076923076923,0.36564102564102546,0.3657435897435898,0.3962564102564102,0.3789184371184371,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.0,0.0,0.1,0.1,0.0
smdvlinear_(no mean)_normal_KL28_142319_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.42153846153846153,0.3697435897435894,0.3655384615384616,0.3924358974358973,0.38341880341880336,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.01,0.01,0.1,0.1,0.0
smdvlinear_(no mean)_normal_KL28_143141_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.41846153846153844,0.37743589743589706,0.37646153846153857,0.4051501831501831,0.39144749694749686,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.1,0.1,0.0
smdvlinear_(no mean)_normal_KL28_143958_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.40923076923076923,0.376410256410256,0.38005128205128214,0.4057997557997558,0.3912826617826617,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.0,0.0,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_144744_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.4123076923076923,0.37794871794871754,0.37989743589743596,0.406030525030525,0.39193492063492064,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.01,0.01,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_145517_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.41846153846153844,0.3815384615384611,0.38020512820512825,0.4080219780219779,0.39239645909645904,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_153037_20_0.0001_7_window_20 (sample rate 3),smd,7,normal_KL,vlinear,256,2,0.0001,0.37538461538461537,0.35179487179487184,0.34943589743589754,0.361952380952381,0.3557470085470086,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_153731_30_0.0001_7_window_30 (sample rate 3),smd,7,normal_KL,vlinear,256,2,0.0001,0.37538461538461537,0.35025641025641024,0.3473333333333333,0.3683369963369963,0.3588526251526251,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_154611_20_0.0001_7_window_20 (sample rate 1),smd,7,normal_KL,vlinear,256,2,0.0001,0.4276923076923077,0.36717948717948673,0.3475384615384616,0.35857020757020763,0.3636836385836385,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_160142_30_0.0001_7_window_30 (sample rate 1),smd,7,normal_KL,vlinear,256,2,0.0001,0.49538461538461537,0.4184615384615382,0.3937948717948717,0.39350549450549455,0.4123786324786325,159455,30,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_161652_10_0.0001_7_window_10 (sample rate 1),smd,7,normal_KL,vlinear,256,2,0.0001,0.5815384615384616,0.44717948717948675,0.4126153846153845,0.4242942612942612,0.44526642246642245,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,0.01,0.01,0.1,0.1,0.0,0.0,0.0
-------------------------------------------------------------------------------


smdvlinear_(no mean)_normal_KL28_164558_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5876923076923077,0.44051282051282,0.4113846153846152,0.4244310134310133,0.44178131868131854,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_170339_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5907692307692308,0.44051282051282004,0.4173846153846153,0.4248363858363856,0.4457567765567765,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_172223_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5661538461538461,0.43076923076923024,0.40507692307692283,0.4156544566544565,0.43201282051282036,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_174026_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5815384615384616,0.44717948717948675,0.4126153846153845,0.4242942612942612,0.44526642246642245,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_175848_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5846153846153846,0.44769230769230717,0.4102051282051281,0.42611111111111094,0.4444275946275945,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.01,0.01,0.0
