scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
swatvlinear_(no mean)_normal_KL05_125405_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.25,0.45,0.55,0.41,20572,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1564765532062044,0.0,0.25,0.3,0.5,0.41,0.1356465996625054,1.0,0.08917437791824341,11.213983470866676,0.156036376953125,17.798828125,82.3114333152771,0.5716071758005354,57730.20598243002,440.640625,0,0,0,mul,none,split_max,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_125728_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.25,0.45,0.55,0.41,20572,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1564765532062044,0.0,0.25,0.3,0.5,0.41,0.1356465996625054,1.0,0.10345671176910401,9.665878442297805,0.156036376953125,17.798828125,81.85576868057251,0.5684428380595313,58051.57139924087,414.640625,0,0,0,mul,none,split_diff,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_130051_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.3,0.45,0.55,0.395,24732,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34042955660215724,0.1,0.55,0.65,0.75,0.395,0.1312440474840669,1.0,0.072569739818573,13.779848219106704,0.171905517578125,17.86328125,136.68065190315247,0.6834032595157623,48286.27832911133,517.18896484375,0,0,0,mul,gate,split_max,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_130545_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.3,0.45,0.55,0.395,24732,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34042955660215724,0.1,0.55,0.65,0.75,0.395,0.1312440474840669,1.0,0.22963031530380248,4.354825706165987,0.171905517578125,17.86328125,137.70543956756592,0.6885271978378296,47926.937532208176,491.18896484375,0,0,0,mul,gate,split_diff,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_131434_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.35,0.4,0.5,0.375,20828,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3249977814880971,0.1,0.45,0.6,0.7,0.375,0.13647344063956182,1.0,0.09560110569000244,10.460130066305037,0.157012939453125,17.8037109375,130.3196668624878,0.651598334312439,50643.161994605565,517.7421875,0,0,0,gate,none,split_max,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_131926_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.35,0.4,0.5,0.375,20828,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3249977814880971,0.1,0.45,0.6,0.7,0.375,0.13647344063956182,1.0,0.10922659635543823,9.15527933092288,0.157012939453125,17.8037109375,128.5587387084961,0.6427936935424805,51336.84466961744,491.7421875,0,0,0,gate,none,split_diff,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_132424_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.25,0.4,0.5,0.36500000000000005,24988,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3569290824437883,0.1,0.6,0.6,0.8,0.36500000000000005,0.13425721582097552,1.0,0.2568372845649719,3.8935157007822627,0.172882080078125,17.8681640625,153.0430347919464,0.765215173959732,43123.81814025098,594.29052734375,0,0,0,gate,gate,split_max,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_132957_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.25,0.4,0.5,0.36500000000000005,24988,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3569290824437883,0.1,0.6,0.6,0.8,0.36500000000000005,0.13425721582097552,1.0,0.09448943138122559,10.58319417719232,0.172882080078125,17.8681640625,150.84478855133057,0.7542239427566528,43752.257292960254,568.29052734375,0,0,0,gate,gate,split_diff,bipartite,mlp
swatvlinear_(no mean)_normal_KL05_134736_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.1,0.2,0.4,0.55,0.375,27142,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2694696569727267,0.1,0.35,0.4,0.65,0.375,0.16469669092000605,1.0,0.1761540412902832,5.6768496066014515,0.18109893798828125,18.0009765625,119.90550827980042,0.5995275413990021,55041.67485449723,363.21826171875,0,0,0,mul,none,split_mean,bipartite,linear
swatvlinear_(no mean)_normal_KL05_140659_4_0.0001_1_window_4,swat,1,normal_KL,vlinear,64,0,0.0001,0.15,0.3,0.45,0.55,0.395,24732,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34042955660215724,0.1,0.55,0.65,0.75,0.395,0.1312440474840669,1.0,0.07875651121139526,12.69736285442911,0.171905517578125,17.86328125,136.55122709274292,0.6827561354637146,48332.044614418184,517.18896484375,0,0,0,mul,gate,split_max,bipartite,mlp
