scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
swatvlinear_(no mean)_normal_KL10_180551_8_0.0001_1_window_8,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.4,0.315,74221,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.058033142871191455,0.0,0.0,0.05,0.2,0.315,0.050249378105604446,1.0,0.12811027765274047,7.805774980135706,0.5017433166503906,20.3427734375,1155.6814057826996,5.778407028913498,8566.201680207218,1631.27197265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
swatGVAR_(no mean)_normal_KL10_183032_8_0.0001_1_window_8,swat,1,normal_KL,GVAR,128,0,0.0001,0.3,0.35,0.35,0.35,0.33999999999999997,3204383,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04781493670132419,0.0,0.0,0.0,0.05,0.33999999999999997,0.019999999999999997,1.0,0.14036892652511596,7.124083832193957,12.442119598388672,67.75439453125,1017.3011465072632,5.086505732536316,9731.435017044207,263.75634765625,1,0,0,mul,linear_attn,max,symmetric,linear,512
swatbaro_(no mean)_normal_KL10_185414_8_0.0001_1_window_8,swat,1,normal_KL,baro,1000,0,0.0001,0.0,0.15,0.2,0.25,0.18,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11210953634598202,0.0,0.15,0.2,0.3,0.18,0.08426149773176358,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
swatcLSTM_(no mean)_normal_KL10_185424_8_0.0001_1_window_8,swat,1,normal_KL,cLSTM,128,0,0.0001,0.3,0.35,0.35,0.45,0.36,4732851,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04758780106549557,0.0,0.0,0.0,0.1,0.36,0.04898979485566357,1.0,0.13177634477615358,7.588615405129687,18.272762298583984,94.251953125,691.0036661624908,14.1021156359692,3510.040711462232,715.81005859375,1,0,0,mul,linear_attn,max,symmetric,linear,512
swatCUTS_PLUS_(no mean)_normal_KL10_192031_8_0.0001_1_window_8,swat,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.25,0.25,0.3,0.3,0.27999999999999997,91612,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18491892109152172,0.0,0.3,0.35,0.45,0.27999999999999997,0.02449489742783178,1.0,0.1140289545059204,8.769702435078274,0.567840576171875,18.146484375,5157.972036123276,25.78986018061638,1919.32021551646,1115.4091796875,1,0,0,mul,linear_attn,max,symmetric,linear,512
baro_swat_ws_8_seed_1_numvars_51_12_135925_,swat,1,normal_KL,baro,1000,0,0.0001,0.0,0.15,0.2,0.25,0.18,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11210953634598202,0.0,0.15,0.2,0.3,0.18,0.08426149773176358,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
torai_swat_ws_8_seed_1_numvars_51_12_140003_,swat,1,normal_KL,torai,1000,0,0.0001,0.15,0.15,0.2,0.35,0.24,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2084733243479374,0.15,0.15,0.2,0.35,0.24,0.08306623862918074,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
rcd_swat_ws_8_seed_1_numvars_51_12_140040_,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
deep_mlp_swat_ws_8_seed_1_numvars_51_14_171302_,swat,1,normal_KL,deep_mlp,128,0,0.0001,0.15,0.25,0.3,0.4,0.305,9613149,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05006563263072146,0.0,0.0,0.05,0.15,0.305,0.07566372975210779,1.0,0.13027565479278563,7.676031270697384,36.88962173461914,169.455078125,1563.574857711792,9.7723428606987,5065.213194582996,602.8994140625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_8_seed_1_numvars_51_18_155827_,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.45,0.45,0.38500000000000006,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.054005415849284144,0.0,0.05,0.05,0.05,0.38500000000000006,0.08381527307120105,1.0,0.33544600009918213,2.981105750864007,0.6311378479003906,20.8603515625,1646.2596473693848,8.231298236846923,6013.510697306609,1631.78955078125,1,0,0,mul,linear_attn,max,symmetric,mlp,512
