scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
aiopsvlinear_(no mean)_normal_KL07_131017_8_0.0001_1_window_8,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2931937172774869,0.36125654450261774,0.39895287958115194,0.45106166375799905,0.3892927781933019,160526,8,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36388638141662155,0.19895287958115182,0.418848167539267,0.7801047120418848,0.7801047120418848,0.3892927781933019,0.05499722427952629,0.13337988826815642,0.0930762827708459,10.743875563466615,0.8112640380859375,20.35986328125
aiopsGVAR_(no mean)_normal_KL07_131221_8_0.0001_1_window_8,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2094240837696335,0.29493891797556715,0.3193717277486911,0.38497673065735927,0.3133376963350786,956060,8,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29133556918748277,0.11518324607329843,0.36649214659685864,0.643979057591623,0.7172774869109948,0.3133376963350786,0.05309253085438054,0.13337988826815642,0.06494572150145525,15.397473103406709,3.8457412719726562,32.083984375
aiopsrcd_(no mean)_normal_KL07_131606_8_0.0001_1_window_8,aiops,1,normal_KL,rcd,256,2,0.0001,0.17801047120418848,0.2617801047120419,0.2931937172774868,0.341753926701571,0.27939790575916235,0,8,0,100,0,0,128,2,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2888427513991695,0.08900523560209424,0.35602094240837695,0.837696335078534,0.837696335078534,0.27939790575916235,0.05671326591808426,0.13337988826815642,0,0,0,0
aiopsrcd_(no mean)_normal_KL07_131606_8_0.0001_1_window_8,aiops,1,normal_KL,rcd,256,2,0.0001,0.17801047120418848,0.2617801047120419,0.2931937172774868,0.341753926701571,0.27939790575916235,0,8,0,100,0,0,128,2,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0
aiopscLSTM_(no mean)_normal_KL07_132645_8_0.0001_1_window_8,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.2513089005235602,0.3054101221640488,0.3413612565445026,0.3779086678301341,0.32802169035153333,2461470,8,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3124129512920479,0.15706806282722513,0.3612565445026178,0.6596858638743456,0.7172774869109948,0.32802169035153333,0.04368611427758687,0.13337988826815642,0.06268770782111203,15.952090685045258,9.588424682617188,56.50244140625
aiopsvlinear_(no mean)_normal_KL07_133347_10_0.0001_1_window_10,aiops,1,normal_KL,vlinear,16,2,0.0001,0.291866028708134,0.36602870813397137,0.4004784688995216,0.4491095162147798,0.3892526771474142,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.360485854133767,0.19138755980861244,0.430622009569378,0.7703349282296651,0.7703349282296651,0.3892526771474142,0.05437446102907903,0.14615384615384616,0.09701768291053589,10.307399331750092,0.8172760009765625,20.4453125
aiopsGVAR_(no mean)_normal_KL07_133553_10_0.0001_1_window_10,aiops,1,normal_KL,GVAR,256,2,0.0001,0.23444976076555024,0.29346092503987237,0.3330143540669856,0.3807150451887297,0.3208422571580467,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3031825144279128,0.13875598086124402,0.3684210526315789,0.6411483253588517,0.7081339712918661,0.3208422571580467,0.04907512018471569,0.14615384615384616,0.09832327217576606,10.170532142302644,4.887763977050781,36.2646484375
aiopsrcd_(no mean)_normal_KL07_133927_10_0.0001_1_window_10,aiops,1,normal_KL,rcd,256,2,0.0001,0.18181818181818182,0.2647527910685806,0.294736842105263,0.3421451355661886,0.28122541201488577,0,10,0,100,0,0,128,2,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29204751691140074,0.09090909090909091,0.36363636363636365,0.8421052631578947,0.8421052631578947,0.28122541201488577,0.05557637281072944,0.14615384615384616,0,0,0,0
aiopsvlinear_(no mean)_normal_KL07_134640_12_0.0001_1_window_12,aiops,1,normal_KL,vlinear,16,2,0.0001,0.28193832599118945,0.35168869309838496,0.38634361233480213,0.4350832109642686,0.3763930843996926,163606,12,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3466273156687862,0.18061674008810572,0.41409691629955947,0.7400881057268722,0.7400881057268722,0.3763930843996926,0.05307728205490349,0.15896358543417366,0.10460611482023667,9.559670595915719,0.8233184814453125,20.52783203125
aiopsGVAR_(no mean)_normal_KL07_134904_12_0.0001_1_window_12,aiops,1,normal_KL,GVAR,256,2,0.0001,0.23348017621145375,0.30029368575624105,0.32951541850220284,0.3688570729319629,0.31987395986294676,1502380,12,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.306410132434094,0.13656387665198239,0.3744493392070485,0.6035242290748899,0.7004405286343612,0.31987395986294676,0.042703964049702836,0.15896358543417366,0.06586596409129676,15.182348179310042,5.929786682128906,40.4443359375
aiopscLSTM_(no mean)_normal_KL07_135237_12_0.0001_1_window_12,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.2422907488986784,0.29441997063142433,0.3273127753303964,0.35791727851199234,0.31571638346968744,2461470,12,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2927620170501556,0.14537444933920704,0.34801762114537443,0.5726872246696035,0.5947136563876652,0.31571638346968744,0.04144687424517517,0.15896358543417366,0.07003063987530275,14.279463985772654,9.588424682617188,56.18212890625
aiopsvlinear_(no mean)_normal_KL07_140056_14_0.0001_1_window_14,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2938775510204082,0.36326530612244917,0.3975510204081637,0.4451587301587306,0.38757515387107244,165146,14,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3624094366810764,0.2,0.4326530612244898,0.746938775510204,0.746938775510204,0.38757515387107244,0.05216252346169155,0.1718092566619916,0.0995708991070183,10.04309501037251,0.8293914794921875,20.61328125
aiopsGVAR_(no mean)_normal_KL07_140324_14_0.0001_1_window_14,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2571428571428571,0.3197278911564626,0.3395918367346942,0.37657596371882096,0.33104826692581807,1775540,14,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3336696831012908,0.15918367346938775,0.44081632653061226,0.636734693877551,0.6979591836734694,0.33104826692581807,0.035680461707340495,0.1718092566619916,0.064343887445878,15.541491813672845,6.971809387207031,44.625
aiopscLSTM_(no mean)_normal_KL07_140714_14_0.0001_1_window_14,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.24489795918367346,0.3231292517006802,0.35632653061224545,0.37941043083900244,0.3364292193067705,2461470,14,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3283178457313226,0.1469387755102041,0.45714285714285713,0.6816326530612244,0.689795918367347,0.3364292193067705,0.043796281930559344,0.1718092566619916,0.06578359506568131,15.201358317397444,9.588424682617188,56.20458984375
aiopsvlinear_(no mean)_normal_KL07_141519_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2408026755852843,0.3238573021181717,0.35418060200668955,0.40036231884058,0.34240895577852126,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3308834593692165,0.15719063545150502,0.45484949832775917,0.7023411371237458,0.7090301003344481,0.34240895577852126,0.05316903744934628,0.21056338028169014,0.06666939713085775,14.999385670718068,0.8477935791015625,20.86376953125
aiopsGVAR_(no mean)_normal_KL07_141811_20_0.0001_1_window_20,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2709030100334448,0.3171683389074692,0.32775919732441533,0.3745261984392423,0.3257436162870947,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34810258314509207,0.17391304347826086,0.45484949832775917,0.6321070234113713,0.7190635451505016,0.3257436162870947,0.02952907518918992,0.21056338028169014,0.09440877445565418,10.5922357933978,10.097877502441406,57.1650390625
aiopscLSTM_(no mean)_normal_KL07_142226_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.2508361204013378,0.3121516164994429,0.3344481605351172,0.3420847268673356,0.3163679195200935,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3148007308852592,0.15384615384615385,0.391304347826087,0.5919732441471572,0.68561872909699,0.3163679195200935,0.02886374356898945,0.21056338028169014,0.06847741851041149,14.603354240755401,9.588424682617188,56.27099609375
aiopsvlinear_(no mean)_normal_KL07_143147_8_0.0001_2_window_8,aiops,2,normal_KL,vlinear,16,2,0.0001,0.08900523560209424,0.2966841186736477,0.3790575916230367,0.4301192553810357,0.3403573506191308,160526,8,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34436850385577594,0.17801047120418848,0.4031413612565445,0.7591623036649214,0.7591623036649214,0.3403573506191308,0.10324597507901828,0.13337988826815642,0.07540489741020802,13.261738087911302,0.8112640380859375,20.35986328125
