scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size,transformation
vlinear_swat_ws_8_seed_1_numvars_51_29_172250_,swat,1,normal_KL,vlinear,128,0,0.0001,0.15,0.25,0.35,0.4,0.315,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10619562364752651,0.0,0.1,0.15,0.3,0.315,0.08381527307120105,1.0,0.2982548475265503,3.3528373747923115,0.6308937072753906,20.859375,1237.835551738739,6.189177758693695,7997.669792319455,1631.7900390625,1,1,0,mul,linear_attn,max,symmetric,mlp,512,none
vlinear_swat_ws_8_seed_1_numvars_51_29_181922_,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.3,0.35,0.4,0.35,108190,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11158115688329184,0.05,0.05,0.1,0.2,0.35,0.0632455532033676,1.0,0.21162831783294678,4.72526555160435,0.6313247680664062,20.86181640625,1275.6164317131042,6.378082158565522,7760.79686172194,1632.48876953125,1,0,0,mul,linear_attn,max,symmetric,mlp,512,learned
vlinear_swat_ws_8_seed_1_numvars_51_29_191716_,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.3,0.4,0.30999999999999994,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09012964026474674,0.0,0.05,0.15,0.2,0.30999999999999994,0.07,1.0,0.1857227087020874,5.384371178885141,0.6313247680664062,20.8603515625,1255.3593554496765,6.276796777248382,7886.028774966861,1631.791015625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,legendre
vlinear_swat_ws_8_seed_1_numvars_51_29_201426_,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.2,0.3,0.4,0.28500000000000003,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10693458975037924,0.0,0.05,0.1,0.45,0.28500000000000003,0.06726812023536854,1.0,0.2796778678894043,3.5755421319052663,0.6313247680664062,20.8603515625,1245.9033651351929,6.229516825675964,7945.881098832872,1631.791015625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,laguerre
vlinear_swat_ws_8_seed_1_numvars_51_29_211137_,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.3,0.4,0.32999999999999996,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06079151475478917,0.0,0.0,0.1,0.1,0.32999999999999996,0.05567764362830022,1.0,0.2521928548812866,3.9652193971582763,0.6313247680664062,20.8603515625,1246.4486973285675,6.232243486642838,7942.404706441266,1631.7900390625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,chebyshev
vlinear_swat_ws_8_seed_1_numvars_51_29_220811_,swat,1,normal_KL,vlinear,128,0,0.0001,0.15,0.25,0.35,0.35,0.30500000000000005,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07335643705709495,0.0,0.05,0.05,0.2,0.30500000000000005,0.065,1.0,0.24379442930221557,4.101816447825259,0.6313247680664062,20.8603515625,1248.1471016407013,6.240735508203507,7931.5971546836245,1631.791015625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,hermite
vlinear_swat_ws_8_seed_1_numvars_51_29_230524_,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.5,0.355,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11866387192045084,0.05,0.1,0.1,0.2,0.355,0.11499999999999999,1.0,0.26982865333557127,3.7060556306314667,0.6313247680664062,20.8603515625,1254.0485408306122,6.270242704153061,7894.271774713698,1631.7900390625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,fourier
vlinear_swat_ws_8_seed_1_numvars_51_30_000237_,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.45,0.45,0.38500000000000006,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.054005415849284144,0.0,0.05,0.05,0.05,0.38500000000000006,0.08381527307120105,1.0,0.23430428504943848,4.267954381581194,0.6311378479003906,20.8603515625,1246.5124475955963,6.232562237977982,7941.998508796098,1631.78955078125,1,0,0,mul,linear_attn,max,symmetric,mlp,512,orthogonal
vlinear_swat_ws_8_seed_2_numvars_51_30_040629_,swat,2,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.4,0.305,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08652346502884212,0.0,0.05,0.1,0.25,0.305,0.05220153254455275,1.0,0.24838205575942993,4.026055734753031,0.6308937072753906,20.859375,1241.0196270942688,6.205098135471344,7977.150227010877,1631.7890625,1,1,0,mul,linear_attn,max,symmetric,mlp,512,none
vlinear_swat_ws_8_seed_2_numvars_51_30_050457_,swat,2,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.35,0.4,0.35,108190,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06379656517268051,0.0,0.0,0.1,0.15,0.35,0.05916079783099617,1.0,0.2556822657585144,3.91110426463631,0.6313247680664062,20.86181640625,1287.5877976417542,6.437938988208771,7688.640742116153,1632.48876953125,1,0,0,mul,linear_attn,max,symmetric,mlp,512,learned
vlinear_swat_ws_8_seed_2_numvars_51_30_060601_,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.3,0.35,0.35,0.31500000000000006,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07150000724856842,0.0,0.05,0.1,0.15,0.31500000000000006,0.05024937810560444,1.0,0.268178653717041,3.728857558719471,0.6313247680664062,20.8603515625,1281.623428106308,6.40811714053154,7724.421840998706,1631.791015625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,legendre
vlinear_swat_ws_8_seed_2_numvars_51_30_070644_,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.25,0.4,0.3,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.059588994837354047,0.0,0.0,0.05,0.15,0.3,0.0670820393249937,1.0,0.233337926864624,4.285629916392337,0.6313247680664062,20.8603515625,1255.4443984031677,6.277221992015838,7885.494580717244,1631.791015625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,laguerre
vlinear_swat_ws_8_seed_2_numvars_51_30_080525_,swat,2,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.45,0.3350000000000001,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10260432210064563,0.0,0.1,0.15,0.3,0.3350000000000001,0.08077747210701756,1.0,0.24127566814422607,4.144636745559587,0.6313247680664062,20.8603515625,1234.3810398578644,6.171905199289322,8020.051896730312,1631.7900390625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,chebyshev
vlinear_swat_ws_8_seed_2_numvars_51_30_090202_,swat,2,normal_KL,vlinear,128,0,0.0001,0.15,0.25,0.25,0.4,0.29,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06377670780191394,0.0,0.0,0.05,0.15,0.29,0.07681145747868609,1.0,0.26323593854904176,3.7988733814691362,0.6313247680664062,20.8603515625,1244.2049725055695,6.221024862527847,7956.727563999255,1631.791015625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,hermite
vlinear_swat_ws_8_seed_2_numvars_51_30_095528_,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.3,0.4,0.325,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.050801864741485805,0.0,0.05,0.05,0.05,0.325,0.07158910531638178,1.0,0.20437992811203004,4.892848379180631,0.6313247680664062,20.8603515625,1253.407826423645,6.267039132118225,7898.307152147877,1631.7900390625,1,0,0,mul,linear_attn,max,symmetric,mlp,512,fourier
