scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
GVAR_(no mean)_normal_KL24_142612_1_0.0001_7_window_1,aiops,7,normal_KL,GVAR,64,2,0.0001,0.32704668954668953,0.32388698222031576,0.3102439344106021,0.32521044854378217,0.3224214160305434,50753,1,0,200,0,0,64,2,100,0,vlinear,gated,iTransformer
aiopsGVAR_(no mean)_normal_KL24_143242_1_0.0001_7_window_1,aiops,7,normal_KL,GVAR,64,2,0.0001,0.18396432146432148,0.1944444444444444,0.196540469040469,0.19710978835978837,0.19642867988453305,17118000,1,0,200,0,0,64,2,100,0,vlinear,gated,aerca_based
GVAR_(no mean)_normal_KL24_144540_1_0.0001_7_window_1 (100 vars),aiops,7,normal_KL,GVAR,64,2,0.0001,0.1814171314171314,0.20427808761142072,0.22667941751275078,0.3266050574383906,0.25217777982063694,50753,1,0,200,0,0,64,2,100,0,vlinear,gated,iTransformer
GVAR_(no mean)_normal_KL24_145114_1_0.0001_7_window_1 (200 vars),aiops,7,normal_KL,GVAR,64,2,0.0001,0.2104971042471043,0.25479005791505804,0.29061427498927567,0.27634612290862265,0.2636382551769457,50753,1,0,200,0,0,64,2,200,0,vlinear,gated,iTransformer
aiopsdeep_mlp_(no mean)_normal_KL24_150308_1_0.0001_7_window_1 (200 vars),aiops,7,normal_KL,deep_mlp,64,2,0.0001,0.125,0.1375129593879593,0.14538985413985417,0.17545715358215366,0.15120484956682873,141744000,1,0,200,0,0,64,2,200,0,vlinear,gated,aerca_based
aiopsvlinear_(no mean)_normal_KL24_152247_1_0.0001_7_window_1 (200 vars)(no orth),aiops,7,normal_KL,vlinear,64,2,0.0001,0.125,0.12426935864435858,0.1361414092664093,0.13583802552552554,0.13292073578680724,622427,1,0,200,0,0,64,2,200,0,vlinear,gated,aerca_based
aiopsGVAR_(no mean)_normal_KL24_154155_1_0.0001_7_window_1 (200 vars),aiops,7,normal_KL,GVAR,64,2,0.0001,0.1409762441012441,0.14260376447876444,0.1557215250965251,0.14417698948948943,0.14529163469379242,47248000,1,0,200,0,0,64,2,200,0,vlinear,gated,aerca_based
aiopsvlinear_(no mean)_normal_KL24_155409_1_0.0001_7_window_1 (200 vars)(no orth),aiops,7,normal_KL,vlinear,64,2,0.0001,0.1890484234234237,0.15167488917488922,0.14321750321750318,0.1376206563706562,0.14871203452602258,622427,1,0,200,0,0,64,2,200,0,vlinear,gated,aerca_based
aiopsvlinear_(no mean)_normal_KL24_160649_1_0.0001_7_window_1 (200 vars)(with orth),aiops,7,normal_KL,vlinear,64,2,0.0001,0.125,0.125,0.125,0.125,0.125,184921,1,0,200,0,0,64,2,200,0,vlinear,gated,aerca_based
aiopsvlinear_(no mean)_normal_KL24_161737_10_0.0001_7_window_10,aiops,7,normal_KL,vlinear,64,2,0.0001,0.04391891891891892,0.04391891891891892,0.04391891891891892,0.04528839448850032,0.04420803042805277,193138,10,0,200,0,0,64,2,200,0,vlinear,gated,aerca_based
aiopsvlinear_(no mean)_normal_KL24_162920_2_0.0001_7_window_2 (200 vars) (no orth),aiops,7,normal_KL,vlinear,64,2,0.0001,0.12749003984063745,0.12749003984063745,0.12749003984063745,0.13074685385442358,0.1279966553538931,185834,2,0,200,0,0,64,2,200,0,vlinear,gated,aerca_based
vlinear_(no mean)_normal_KL24_164026_2_0.0001_7_window_2,aiops,7,normal_KL,vlinear,64,2,0.0001,0.15221653070258648,0.1663288644364343,0.15350249794472903,0.14420018339341045,0.15465843498015994,50882,2,0,200,0,0,64,2,200,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL24_164908_2_0.0001_7_window_2,aiops,7,normal_KL,vlinear,128,4,0.0001,0.15221653070258648,0.1663288644364343,0.15350249794472903,0.14420018339341045,0.15430081782971414,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer


------
vlinear_(no mean)_normal_KL25_114236_1_0.0001_7_window_1,aiops,7,normal_KL,vlinear,128,4,0.0001,0.25,0.25,0.25,0.25,0.25,199809,1,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL25_115315_2_0.0001_7_window_2,aiops,7,normal_KL,vlinear,128,4,0.0001,0.14678899082568808,0.23623853211009124,0.22935779816513746,0.25909785932721685,0.24328272899373804,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL25_120430_2_0.0001_7_window_2 (with no duplicates),aiops,7,normal_KL,vlinear,128,4,0.0001,0.08142555843642418,0.1141438993050315,0.1837189300046634,0.23633616149890985,0.17354832291474345,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer, (Root Cause Analysis Coverage: 546/690 samples (79.13%))
vlinear_(no mean)_normal_KL25_121539_2_1e-05_7_window_2 (no sampling),aiops,7,normal_KL,vlinear,128,4,1e-05,0.0829237522595337,0.12690179352999142,0.17839300209161488,0.22069140413998212,0.16739377322551666,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL25_123017_2_1e-05_7_window_2 (with sampling),aiops,7,normal_KL,vlinear,128,4,1e-05,0.04636572364342363,0.10592378300482148,0.14854856170934655,0.19899557128573767,0.13792866941111767,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL25_124137_2_1e-05_7_window_2 (with half sampling and max) (X30),aiops,7,normal_KL,vlinear,128,4,1e-05,0.08955177586559601,0.12604486600435985,0.1849952286863035,0.23891853257175066,0.17562710978923018,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL25_125635_2_1e-05_7_window_2 (with half sampling and max) (X10),aiops,7,normal_KL,vlinear,128,4,1e-05,0.10103481441865278,0.13441361294896648,0.18395114113969327,0.23575384787926873,0.17707765743748588,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL25_130607_2_1e-05_7_window_2 (with half sampling and max) (X10) (step1 int train and test),aiops,7,normal_KL,vlinear,128,4,1e-05,0.09765488439730866,0.13399441467623288,0.18068461132644645,0.21828802035662306,0.17244140705811994,200066,2,0,200,0,0,128,4,200,0,vlinear,gated,iTransformer


-----20vars (Root Cause Analysis Coverage: 150/1420 samples (10.56%))-----
vlinear_(no mean)_normal_KL25_133716_2_1e-05_7_window_2,aiops,7,normal_KL,vlinear,256,2,1e-05,0.3333333333333333,0.22222222222222243,0.23333333333333353,0.4861111111111113,0.30984126984126986,793346,2,0,50,0,0,256,2,20,0,vlinear,gated,iTransformer
aiopsGVAR_(no mean)_normal_KL25_134235_2_1e-05_7_window_2,aiops,7,normal_KL,GVAR,256,2,1e-05,0.5,0.4444444444444445,0.4000000000000014,0.5555555555555549,0.45507936507936486,141600,2,0,50,0,0,256,2,20,0,vlinear,gated,aerca_based
