scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
batch 1000
msdsvlinear_(no mean)_normal_KL20_113523_1_0.0001_1_window_1,msds,1,normal_KL,vlinear,16,2,0.0001,0.0,0.6815181518151816,0.971947194719472,1.0,0.7867986798679868,163553,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsdeep_mlp_(no mean)_normal_KL20_114449_1_0.0001_1_window_1,msds,1,normal_KL,deep_mlp,128,2,0.0001,0.49504950495049505,0.8597359735973596,0.9867986798679869,1.0,0.9018151815181519,9342300,1,1,1000,0,0,128,2,10,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_120138_1_0.0001_1_window_1,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.0,0.7656765676567656,0.9884488448844884,1.0,0.8349834983498351,7860,1,0,1000,0,0,128,2,10,0,normal,gated,FEDformer
batch 10000
msdsdeep_mlp_(no mean)_normal_KL20_121033_1_0.0001_1_window_1,msds,1,normal_KL,deep_mlp,128,2,0.0001,0.7524752475247525,0.9917491749174918,0.9966996699669968,1.0,0.9519801980198019,9342300,1,1,1000,0,0,128,2,10,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_121157_1_0.0001_1_window_1,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.7623762376237624,0.7689768976897691,0.995049504950495,1.0,0.9275577557755776,7860,1,0,1000,0,0,128,2,10,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_121240_1_0.0001_1_window_1,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.2079207920792079,0.933993399339934,0.9966996699669968,1.0,0.8349834983498351,3473,1,0,1000,0,0,128,2,10,0,normal,gated,iTransformer
msdsGVAR_(no mean)_normal_KL20_121322_1_0.0001_1_window_1,msds,1,normal_KL,GVAR,16,2,0.0001,0.46534653465346537,0.9917491749174918,0.9966996699669968,1.0,0.9405940594059405,3114100,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdscausalrca_(no mean)_normal_KL20_121601_1_0.0001_1_window_1,msds,1,normal_KL,causalrca,16,2,0.0001,0.009900990099009901,0.1419141914191419,0.39933993399339934,1.0,0.5303630363036304,300,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsrcd_(no mean)_normal_KL20_121730_1_1e-05_1_window_1,msds,1,normal_KL,rcd,128,2,1e-05,0.22772277227722773,0.9933993399339933,0.9966996699669968,1.0,0.842904290429043,0,1,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL20_121747_1_1e-05_1_window_1,msds,1,normal_KL,epsilon_diagnosis,128,2,1e-05,0.1485148514851485,0.23102310231023102,0.6105610561056105,1.0,0.6603960396039603,0,1,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsdeep_mlp_(no mean)_normal_KL20_125044_2_0.0001_1_window_2,msds,1,normal_KL,deep_mlp,128,2,0.0001,0.6746031746031746,0.9285714285714286,1.0,1.0,0.9341269841269841,18684600,2,1,1000,0,0,128,2,10,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_125239_2_0.0001_1_window_2,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.6904761904761905,0.6904761904761905,1.0,1.0,0.9071428571428571,8116,2,0,1000,0,0,128,2,10,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_125336_2_0.0001_1_window_2,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.0,0.015873015873015872,0.1746031746031746,1.0,0.3325396825396825,3506,2,0,1000,0,0,128,2,10,0,normal,gated,iTransformer
msdsGVAR_(no mean)_normal_KL20_125417_2_0.0001_1_window_2,msds,1,normal_KL,GVAR,16,2,0.0001,0.6904761904761905,0.9682539682539683,1.0,1.0,0.9349206349206349,6228200,2,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdscausalrca_(no mean)_normal_KL20_125724_2_0.0001_1_window_2,msds,1,normal_KL,causalrca,16,2,0.0001,0.0,0.1746031746031746,0.46825396825396826,1.0,0.5523809523809524,300,2,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsrcd_(no mean)_normal_KL20_125924_2_1e-05_1_window_2,msds,1,normal_KL,rcd,128,2,1e-05,0.30952380952380953,1.0,1.0,1.0,0.8619047619047618,0,2,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL20_125938_2_1e-05_1_window_2,msds,1,normal_KL,epsilon_diagnosis,128,2,1e-05,0.18253968253968253,0.21428571428571427,0.7142857142857143,1.0,0.6833333333333333,0,2,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsdeep_mlp_(no mean)_normal_KL20_130112_3_0.0001_1_window_3,msds,1,normal_KL,deep_mlp,128,2,0.0001,0.5780141843971631,1.0,1.0,1.0,0.950354609929078,28026900,3,1,1000,0,0,128,2,10,0,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL20_130238_3_0.0001_1_window_3,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.599290780141844,0.599290780141844,1.0,1.0,0.8797872340425531,8116,3,0,1000,0,0,128,2,10,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_130332_3_0.0001_1_window_3,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.0,0.0,0.07446808510638298,1.0,0.34574468085106386,3539,3,0,1000,0,0,128,2,10,0,normal,gated,iTransformer
msdsGVAR_(no mean)_normal_KL20_130416_3_0.0001_1_window_3,msds,1,normal_KL,GVAR,16,2,0.0001,0.599290780141844,0.7907801418439717,1.0,1.0,0.8968085106382979,9342300,3,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
