scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
swatvlinear_(no mean)_normal_KL06_002503_20_0.0001_1_window_20,swat,1,normal_KL,vlinear,128,0,0.0001,0.1,0.3,0.4,0.5,0.375,27228,20,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5714762827611665,0.5,0.65,0.65,0.7,0.375,0.14186260959111108,1.0,0.12373572587966919,8.081740280672717,0.323760986328125,20.13623046875,188.14894199371338,0.9407447099685669,7014.655442729508,2055.8330078125,1,0,0,mul,gate,split_max,symmetric,linear
swatGVAR_(no mean)_normal_KL06_002909_20_0.0001_1_window_20,swat,1,normal_KL,GVAR,128,0,0.0001,0.2,0.25,0.3,0.45,0.33,8697611,20,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05949424277031919,0.0,0.0,0.0,0.2,0.33,0.08717797887081347,1.0,0.08382515907287598,11.92959263137955,33.39712142944336,156.02587890625,174.53268814086914,0.8726634407043456,7561.907251063255,659.240234375,1,0,0,mul,gate,split_max,symmetric,linear
swatbaro_(no mean)_normal_KL06_003406_20_0.0001_1_window_20,swat,1,normal_KL,baro,1000,0,0.0001,0.35,0.475,0.475,0.525,0.48500000000000004,0,20,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.43749902399984386,0.35,0.5,0.5,0.55,0.48500000000000004,0.052678268764263715,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swattorai_(no mean)_normal_KL06_003415_20_0.0001_1_window_20,swat,1,normal_KL,torai,1000,0,0.0001,0.1,0.35,0.35,0.4,0.32999999999999996,0,20,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.24572695722152238,0.1,0.35,0.35,0.4,0.32999999999999996,0.09539392014169458,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatrcd_(no mean)_normal_KL06_003430_20_0.0001_1_window_20,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,20,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatcLSTM_(no mean)_normal_KL06_003444_20_0.0001_1_window_20,swat,1,normal_KL,cLSTM,128,0,0.0001,0.35,0.4,0.45,0.5,0.445,4732851,20,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04780884989228211,0.0,0.05,0.05,0.05,0.445,0.05220153254455275,1.0,0.18853987455368043,5.303917817741432,18.272762298583984,94.3876953125,220.639342546463,1.6105061499741826,4097.469606127109,1694.82763671875,1,0,0,mul,gate,split_max,symmetric,linear
swatCUTS_PLUS_(no mean)_normal_KL06_004057_20_0.0001_1_window_20,swat,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.2,0.25,0.4,0.27999999999999997,91612,20,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09409604398829523,0.05,0.05,0.05,0.05,0.27999999999999997,0.0714142842854285,1.0,0.08113634586334229,12.324932671780624,0.567840576171875,18.15673828125,1581.128086566925,7.905640432834625,834.7204829342182,2963.7841796875,1,0,0,mul,gate,split_max,symmetric,linear
swatvlinear_(no mean)_normal_KL06_012158_30_0.0001_1_window_30,swat,1,normal_KL,vlinear,128,0,0.0001,0.1,0.45,0.5,0.55,0.425,29028,30,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5317024658955365,0.4,0.65,0.65,0.7,0.425,0.15206906325745548,1.0,0.21606935262680055,4.6281436392657715,0.3325347900390625,20.392578125,182.89315962791443,0.9144657981395722,4810.458749741665,3130.7080078125,1,0,0,mul,gate,split_max,symmetric,linear
swatGVAR_(no mean)_normal_KL06_012602_30_0.0001_1_window_30,swat,1,normal_KL,GVAR,128,0,0.0001,0.25,0.3,0.3,0.4,0.33499999999999996,13275301,30,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05535615746625806,0.0,0.05,0.05,0.1,0.33499999999999996,0.059371710435189594,1.0,0.08325589895248413,12.011160921711035,50.859622955322266,230.56005859375,81.25496196746826,0.837680020283178,5251.408525313659,991.2626953125,1,0,0,mul,gate,split_max,symmetric,linear
swatbaro_(no mean)_normal_KL06_012902_30_0.0001_1_window_30,swat,1,normal_KL,baro,1000,0,0.0001,0.4,0.55,0.575,0.575,0.5425000000000001,0,30,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4806839402427638,0.4,0.55,0.6,0.6,0.5425000000000001,0.060259853965969716,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
