scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
lotka_volterradeep_mlp_(no mean)_normal_KL21_171545_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,128,2,0.0001,0.99,0.7666666666666666,0.6895,0.7999999999999997,0.7874833333333333,3973200,7,1,5000,0,0,128,2,60,1.1,normal,gated,aerca_based
lotka_volterradeep_mlp_(no mean)_normal_KL21_173352_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,128,2,0.0001,0.96,0.8233333333333335,0.7820000000000001,0.9366666666666665,0.8629666666666665,504000,7,1,5000,0,0,128,2,20,1.1,normal,gated,aerca_based
lotka_volterradeep_mlp_(no mean)_normal_KL21_173936_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,128,2,0.0001,0.95,0.7633333333333333,0.7364999999999998,0.8889999999999997,0.8234499999999997,1050000,7,1,5000,0,0,128,2,30,1.1,normal,gated,aerca_based
lotka_volterradeep_mlp_(no mean)_normal_KL21_174658_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,128,2,0.0001,0.99,0.7833333333333334,0.7033333333333335,0.7971666666666666,0.7951833333333334,1810200,7,1,5000,0,0,128,2,40,1.1,normal,gated,aerca_based
lotka_volterradeep_mlp_(no mean)_normal_KL21_175700_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,128,2,0.0001,0.96,0.7500000000000003,0.6656666666666667,0.7818333333333329,0.76025,2784600,7,1,5000,0,0,128,2,50,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_181016_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.93,0.6833333333333332,0.6458333333333333,0.796333333333333,0.7443999999999998,1694503,7,0,100,0,0,64,2,60,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_181722_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.96,0.783333333333333,0.7974999999999999,0.9506666666666667,0.8727,418663,7,0,100,0,0,64,2,20,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_182125_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.93,0.7333333333333333,0.7311666666666662,0.9093333333333331,0.8175166666666664,659623,7,0,100,0,0,64,2,30,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_182604_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.93,0.7366666666666666,0.6635000000000001,0.8340000000000001,0.7764833333333334,952583,7,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_183127_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.6966666666666665,0.6116666666666666,0.7871666666666667,0.7299333333333332,1297543,7,0,100,0,0,64,2,50,1.1,mag_phase,gated,aerca_based
